10.18	582	74709.11028	64570.01953	4.602	4.375	0.563717008	4.338874564
10	434	68440.9191	51849.17578	4.325	3.68	0.44034192	3.112593615
10	331	68427.2276	51809.19922	4	3	0.344545335	2.251435871
10.75	598	95608.20735	79673.51563	4.6	4.5	0.39371267	2.84483511
9.5	509	92147.60067	74671.32813	4.5	4	0.324330062	2.34349976
10.3	307	59525.01267	41209.625	4.031	3.005	0.366914511	2.449478854
10	500	92101.3071	83797.09375	4.375	4.125	0.355462939	2.445616266
10.1	509	87633.28476	67778.86719	4.5	4	0.398197204	2.814690173
10.6	434	75470.57176	58961.39063	4.03	4.25	0.420013815	2.770975864
11.3	401	59639.92851	42599.94141	4.1	3.792	0.499027133	3.449027945
9.9	383	82968.47332	72955.03906	4.03	3.75	0.305071324	1.935987858
10.44	431.7000122	75162.64679	52035.68359	4.375	3.59	0.388777345	2.80917412
10	427	96103.74421	73679.53906	4.125	4	0.305523306	1.99644593
11.35	436	59940.99849	44074.26563	4.164	4	0.511580408	3.584005268
11.45	409	64140.47862	51726.1875	4.165	3.75	0.40873149	2.889152657
13.5	385	63967.76884	47975.82813	4.175	3.51	0.460606664	3.125603188
14.1	466	87130.04132	68459.32031	4.36	3.9	0.419761539	2.967119473
10	521	82589.56194	64891.80078	4.39	4.3	0.481875718	3.481871593
10.25	383	77916.63521	67155.42188	4.03	3.75	0.325958908	2.068540821
10.5	365	63386.43401	45276.01953	4.012	3.607	0.467837363	3.123228151
11	454	74710.62308	61329.61719	4.125	4.25	0.480751961	3.171686344
10.3	403	60435.84635	44583.82813	4.002	4	0.4291282	3.00636558
10.5	454	85939.79784	65887.17188	4.25	4	0.327251107	2.251516382
10.5	417	72553.4768	52190.33984	3.95	4.25	0.383826733	2.628703391
11.4	428	54123.67754	41633.60156	4.35	3.599	0.511369169	3.775307016
11.5	417	60777.52267	43412.50391	3.95	4.25	0.492842823	3.483700634
11.4	433	69297.09046	52497.79297	4.35	3.64	0.429458201	3.03566114
11.4	433	69297.09046	52497.79297	4.35	3.64	0.429458201	3.03566114
10.22	407	75723.69333	52424.09766	4.155	3.75	0.394931436	2.580684489
10.4	409	67429.0283	46681.63281	4.034	4	0.426185459	2.932193424
11.5	407	82445.5943	66987.05469	4.022	4	0.363541424	2.329882098
11.4	436	75117.88675	62053.91016	4.165	4	0.465207487	3.105671402
